case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FR-01::176079-0,FR-01,176079-0,NUST Metro Station,MCI Model School,2026-04-23T21:00:00+05:00,2026-04-23T21:45:00+05:00,2700,45 min 0 sec,17
FR-01::176080-0,FR-01,176080-0,NUST Metro Station,MCI Model School,2026-04-23T22:00:00+05:00,2026-04-23T22:45:00+05:00,2700,45 min 0 sec,17
FR-03A::175967-0,FR-03A,175967-0,PIMS Hospital,Flower Market,2026-04-23T06:00:00+05:00,2026-04-23T06:30:00+05:00,1800,30 min 0 sec,13
FR-03A::175971-0,FR-03A,175971-0,PIMS Hospital,Flower Market,2026-04-23T06:10:00+05:00,2026-04-23T06:40:00+05:00,1800,30 min 0 sec,13
FR-03A::175975-0,FR-03A,175975-0,PIMS Hospital,Flower Market,2026-04-23T06:20:00+05:00,2026-04-23T06:50:00+05:00,1800,30 min 0 sec,13
FR-03A::175979-0,FR-03A,175979-0,PIMS Hospital,Flower Market,2026-04-23T06:30:00+05:00,2026-04-23T07:00:00+05:00,1800,30 min 0 sec,13
FR-03A::175983-0,FR-03A,175983-0,PIMS Hospital,Flower Market,2026-04-23T06:40:00+05:00,2026-04-23T07:10:00+05:00,1800,30 min 0 sec,13
FR-03A::175987-0,FR-03A,175987-0,PIMS Hospital,Flower Market,2026-04-23T06:50:00+05:00,2026-04-23T07:20:00+05:00,1800,30 min 0 sec,13
FR-03A::175991-0,FR-03A,175991-0,PIMS Hospital,Flower Market,2026-04-23T07:00:00+05:00,2026-04-23T07:30:00+05:00,1800,30 min 0 sec,13
FR-03A::175995-0,FR-03A,175995-0,PIMS Hospital,Flower Market,2026-04-23T07:10:00+05:00,2026-04-23T07:40:00+05:00,1800,30 min 0 sec,13
FR-03A::175999-0,FR-03A,175999-0,PIMS Hospital,Flower Market,2026-04-23T07:20:00+05:00,2026-04-23T07:50:00+05:00,1800,30 min 0 sec,13
FR-03A::176003-0,FR-03A,176003-0,PIMS Hospital,Flower Market,2026-04-23T07:30:00+05:00,2026-04-23T08:00:00+05:00,1800,30 min 0 sec,13
FR-03A::176007-0,FR-03A,176007-0,PIMS Hospital,Flower Market,2026-04-23T07:40:00+05:00,2026-04-23T08:10:00+05:00,1800,30 min 0 sec,13
FR-03A::176011-0,FR-03A,176011-0,PIMS Hospital,Flower Market,2026-04-23T07:50:00+05:00,2026-04-23T08:20:00+05:00,1800,30 min 0 sec,13
FR-03A::176015-0,FR-03A,176015-0,PIMS Hospital,Flower Market,2026-04-23T08:00:00+05:00,2026-04-23T08:30:00+05:00,1800,30 min 0 sec,13
