stop_name_normalized,stop_name,routes,route_count,first_seen_sequence,latitude,longitude,coordinate_quality,coordinate_note,google_latitude,google_longitude,verification_note
radio pakistan,Radio Pakistan,FR-04,1,19,33.7295,73.0915,verified,Seed coordinate for key Islamabad stop.,,,
rafiullah shaheed chowk,Rafiullah Shaheed Chowk,FR-11,1,10,33.6025,73.1115,verified,Seed coordinate for key Islamabad stop.,,,
rawal dam chowk,Rawal Dam Chowk,"FR-08A, FR-14",2,7,33.7085,73.0985,verified,Seed coordinate for key Islamabad stop.,,,
rawal dam colony,Rawal Dam Colony,"FR-08A, FR-08C, ST-02",3,9,33.6965,73.1145,verified,Seed coordinate for key Islamabad stop.,,,
rawal town,Rawal Town,"FR-08A, FR-08C, ST-02",3,7,33.6815,73.1165,verified,Seed coordinate for key Islamabad stop.,,,
rescue 15,Rescue 15,FR-04,1,3,33.7055,73.0615,verified,Seed coordinate for key Islamabad stop.,,,
river gardens,River Gardens,FR-15,1,11,33.5583,73.1622,verified,Seed coordinate for key Islamabad stop.,,,
suparco,SUPARCO,FR-15,1,15,33.7425,73.1345,verified,Seed coordinate for key Islamabad stop.,,,
sabri gali,Sabri Gali,FR-12,1,16,33.6415,73.0845,verified,Seed coordinate for key Islamabad stop.,,,
sabzi mandi,Sabzi Mandi,FR-01,1,9,33.6455,73.0336,verified,Seed coordinate for key Islamabad stop.,,,
salai centre,Salai Centre,FR-04,1,5,33.7125,73.0885,verified,Seed coordinate for key Islamabad stop.,,,
sangjani,Sangjani,FR-10,1,18,33.669,72.839,verified,Seed coordinate for key Islamabad stop.,,,
satra meel,Satra Meel,FR-14A,1,14,33.7855,73.2535,verified,Seed coordinate for key Islamabad stop.,,,
school board stop,School Board Stop,"FR-08A, FR-08C, ST-02",3,8,33.6555,73.0535,verified,Seed coordinate for key Islamabad stop.,,,
secretariate police station,Secretariate Police Station,FR-04,1,21,33.7385,73.1045,verified,Seed coordinate for key Islamabad stop.,,,
shah allah ditta,Shah Allah Ditta,FR-10,1,17,33.7255,72.915,verified,Seed coordinate for key Islamabad stop.,,,
shah wali colony road,Shah Wali Colony Road,FR-12,1,19,33.7555,72.8245,verified,Seed coordinate for key Islamabad stop.,,,
shahdara,Shahdara,"FR-14, FRG-1",2,2,33.7715,73.1255,verified,Seed coordinate for key Islamabad stop.,,,
shaheen chowk,Shaheen Chowk,"FR-03A, FR-06, ST-01",3,6,33.7126,73.0185,verified,Seed coordinate for key Islamabad stop.,,,
shahzad town,Shahzad Town,"FR-08A, FR-08C, ST-02",3,12,33.6735,73.1615,verified,Seed coordinate for key Islamabad stop.,,,
shakarparian park,Shakarparian Park,ST-02,1,6,33.6915,73.0815,verified,Seed coordinate for key Islamabad stop.,,,
sitara market,Sitara Market,FR-04,1,6,33.7055,73.0685,verified,Seed coordinate for key Islamabad stop.,,,
soan gardens e block,Soan Gardens E Block,FR-15,1,8,33.5612,73.1655,verified,Seed coordinate for key Islamabad stop.,,,
soan gardens g block,Soan Gardens G Block,FR-15,1,9,33.5645,73.163,verified,Seed coordinate for key Islamabad stop.,,,
soan gardens h block,Soan Gardens H Block,FR-15,1,10,33.567,73.1585,verified,Seed coordinate for key Islamabad stop.,,,
social security hospital,Social Security Hospital,FR-09,1,19,33.6212,73.0035,verified,Seed coordinate for key Islamabad stop.,,,
sohan,Sohan,"FR-09, FR-14, FRB-01",3,6,33.648,73.109,verified,Seed coordinate for key Islamabad stop.,,,
sui gas stop,Sui Gas Stop,FR-01,1,14,33.6545,73.056,verified,Seed coordinate for key Islamabad stop.,,,
sukh chayn park,Sukh Chayn Park,FR-04,1,17,33.7122,73.0425,verified,Seed coordinate for key Islamabad stop.,,,
sumbal road,Sumbal Road,FR-05,1,6,33.6907,73.0057,verified,Seed coordinate for key Islamabad stop.,,,
sunday bazar,Sunday Bazar,FR-05,1,4,33.6785,73.0295,verified,Seed coordinate for key Islamabad stop.,,,
swedish college,Swedish College,FR-12,1,13,33.7715,72.7245,verified,Seed coordinate for key Islamabad stop.,,,
t chowk,T- Chowk,FR-15,1,16,33.497,73.238,verified,Seed coordinate for key Islamabad stop.,,,
tnt,TNT,"FR-08A, FR-08C, FRB-01, FRG-1, ST-02",5,2,33.6955,73.052,verified,Seed coordinate for key Islamabad stop.,,,
tamma stop,Tamma Stop,"FR-08A, FR-08C, ST-02",3,18,33.6515,73.1612,verified,Seed coordinate for key Islamabad stop.,,,
tanki stop,Tanki Stop,FR-07,1,15,33.6745,73.0078,verified,Seed coordinate for key Islamabad stop.,,,
taqwa market,Taqwa Market,FR-06,1,5,33.6485,73.042,verified,Seed coordinate for key Islamabad stop.,,,
taxila,Taxila,FR-10,1,25,33.7465,72.8115,verified,Seed coordinate for key Islamabad stop.,,,
taxila bypass,Taxila Bypass,FR-10,1,22,33.7125,72.8145,verified,Seed coordinate for key Islamabad stop.,,,
taxila chowk,Taxila Chowk,FR-12,1,1,33.7435,72.812,verified,Seed coordinate for key Islamabad stop.,,,
the avanue 03,The Avanue 03,FR-13,1,26,33.6735,72.9345,verified,Seed coordinate for key Islamabad stop.,,,
timber market,Timber Market,FR-10,1,24,33.6425,73.0475,verified,Seed coordinate for key Islamabad stop.,,,
tipu market g 8,Tipu Market G-8,FR-06,1,2,33.6965,73.0485,verified,Seed coordinate for key Islamabad stop.,,,
tipu sultan shaheed chowk,Tipu Sultan Shaheed Chowk,FR-12,1,25,33.6335,73.0715,verified,Seed coordinate for key Islamabad stop.,,,
top city,Top City,FR-13,1,7,33.556,72.848,verified,Seed coordinate for key Islamabad stop.,,,
traders colony,Traders Colony,FR-14A,1,8,33.6565,73.0785,verified,Seed coordinate for key Islamabad stop.,,,
university of wah,University of Wah,FR-12,1,2,33.7785,72.7215,verified,Seed coordinate for key Islamabad stop.,,,
wapda colony,WAPDA Colony,FR-12,1,23,33.6685,73.0645,verified,Seed coordinate for key Islamabad stop.,,,
wah cantt barrier 03,Wah Cantt Barrier 03,FR-12,1,17,33.7735,72.721,verified,Seed coordinate for key Islamabad stop.,,,
wah cantt barrier no 2,Wah Cantt Barrier No 2,FR-12,1,4,33.7845,72.7315,verified,Seed coordinate for key Islamabad stop.,,,
wah gardens,Wah Gardens,FR-12,1,20,33.8115,72.7015,verified,Seed coordinate for key Islamabad stop.,,,
wah model town phase 01,Wah Model Town Phase 01,FR-12,1,11,33.7545,72.7145,verified,Seed coordinate for key Islamabad stop.,,,
wah model town phase 02,Wah Model Town Phase 02,FR-12,1,12,33.7435,72.6985,verified,Seed coordinate for key Islamabad stop.,,,
wahdat colony,Wahdat Colony,FR-10,1,23,33.7655,72.7985,verified,Seed coordinate for key Islamabad stop.,,,
westridge,Westridge,FR-09,1,17,33.6085,73.0285,verified,Seed coordinate for key Islamabad stop.,,,
youth hostel,Youth Hostel,FR-04,1,12,33.7225,73.0855,verified,Seed coordinate for key Islamabad stop.,,,
zero point,Zero Point,"FR-08A, ST-02",2,3,33.693,73.065,verified,Seed coordinate for key Islamabad stop.,,,
zia masjid,Zia Masjid,"FR-09, FRB-01",2,2,33.6402,73.1189,verified,Seed coordinate for key Islamabad stop.,,,
